Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AC101,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AC102,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AC103,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,11,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,36,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,49,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,49,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,49,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,51,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,51,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,70,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,71,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN111,74,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,15,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,18,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,AN113,54,PASS
